Area (Pxl),Mean diff. to neighbors (abs) Layer 1 (0),Mean diff. to neighbors (abs) Layer 2 (0),Mean diff. to neighbors (abs) Layer 3 (0),Mean diff. to neighbors (abs) Layer 4 (0),Compactness,Mean diff. to neighbors Layer 1 (0),Mean diff. to neighbors Layer 2 (0),Mean diff. to neighbors Layer 3 (0),Mean diff. to neighbors Layer 4 (0),Shape index,Mean Layer 1,Mean Layer 2,Mean Layer 3,Mean Layer 4,Standard deviation Layer 1,Standard deviation Layer 2,Standard deviation Layer 3,Standard deviation Layer 4,Main direction,Number of neighbors,GLCM Entropy Layer 1 (all dir.),GLCM Entropy Layer 2 (all dir.),GLCM Entropy Layer 3 (all dir.),GLCM Entropy Layer 4 (all dir.)
205,54.8052468371889,81.6663979002702,51.0966542645191,204.796831044887,3.78285732222837,-54.8052468371889,-81.6663979002702,-51.0966542645191,-176.556678531726,2.86356421265527,167.858536585366,208.89756097561,109.390243902439,273.365853658537,24.0761897926477,32.4230307170755,22.1701601793838,62.9992474200349,82.4891274545935,10,7.2869482905067,7.28641584001187,7.12526176565765,7.2588431583932
60,95.9416912193077,144.522435414693,104.559230580785,220.744498767868,2.16666666666667,-95.9416912193077,-144.522435414693,-100.768921876332,-212.323348714766,1.67829278335655,198.166666666667,260.533333333333,149.4,301.016666666667,25.4703531363209,34.0614477411373,24.8771648974181,79.721283579453,124.84620354901,6,6.20549888703851,6.09750308996711,6.08642912322255,6.15576448302818
274,52.0510869880039,95.0688501330341,71.4035408781618,84.902316834957,1.831403510155,52.0510869880039,95.0688501330341,71.4035408781618,69.8926680944108,2.02380901265609,305.963503649635,437.470802919708,285.211678832117,384.295620437956,17.6198332009987,28.5440028103211,24.2604272583597,61.6682037445734,94.3168014461192,4,7.11726306616424,7.39853505802216,7.22933741042081,7.36478576014386
1014,24.9000843622873,48.9886861245539,41.8101615475412,112.946046693735,2.22472269313943,10.2541893977174,7.704737877604,9.92236845320598,-79.1066276252912,2.87343989057257,284.563116370809,386.560157790927,248.636094674556,273.647928994083,20.6800426082814,27.8532330988332,19.7253008600287,24.1383935269524,95.6111048125874,14,7.95146251473351,8.32030605238467,7.93519446273703,8.1161244334451
304,19.3760041517772,32.4911321083065,20.405067987639,284.961617128709,1.66403551374702,9.67944337973835,3.66328648204889,-1.58192867990217,170.01156312897,1.69194103729539,210.822368421053,268.901315789474,144.707236842105,635.707236842105,25.0125236983196,36.8866078729662,25.3916003568256,96.0207102126067,108.369206985682,7,7.48938214372639,7.65972939734879,7.44155534556324,7.68090797483756
177,51.6635017952123,86.6124718449479,68.127764207062,48.7129402728586,3.03981871874235,30.4418439875701,45.306321150792,27.1588679794304,2.47814667546416,2.6307610980099,263.033898305085,344.655367231638,207.073446327684,236.598870056497,26.2848151272204,39.3245209941432,27.7704518412548,38.1515354833876,106.433271594161,4,7.15001183225704,7.25374733980191,7.1573019914032,7.19764871975136
154,30.9305833165464,57.7962643488835,50.5130552450066,86.9491340750433,5.80225825503215,13.6630009935501,25.3431238061442,17.9472877798236,15.0024485875606,2.98154496689391,296.701298701299,410.350649350649,264.772727272727,308.694805194805,23.7730421019462,34.7629322787547,23.2885688271416,33.102620432641,72.2593532313616,7,6.94855053425711,7.09640725996825,7.01873139082388,7.09926370534089
35,96.7938401716118,129.424423654568,88.8565319454024,82.4049849629119,2.05714285714286,96.7938401716118,129.424423654568,88.8565319454024,82.4049849629119,1.94385478587559,295.171428571429,374.942857142857,225.628571428571,313.057142857143,39.7474065384222,49.6783614045063,30.5876592428905,46.4997344736769,137.162537131458,2,5.79462582615159,5.74074574928911,5.75392600031658,5.86253796249609
214,40.2957909439337,70.3101386301562,52.4244673720865,176.725591490321,1.48245399911892,-40.2957909439337,-70.3101386301562,-46.9433128130545,-176.725591490321,1.60642692850796,180.906542056075,212.817757009346,109.275700934579,181.855140186916,19.1696960570879,26.9677804058051,20.8430644289429,50.0490651478788,98.8855404416043,5,7.03933472140818,7.16759161797027,6.97540065164144,7.23259026368604
75,44.238246414436,80.3914175815365,67.3472136750685,73.9204456087684,2.87765148012114,0.65808264189311,-4.90857473869368,-3.62676595462082,-15.3714820998049,2.13619599600162,242.773333333333,303.24,178.333333333333,185.973333333333,26.4648563612618,31.1738522910894,21.3049811598654,27.6795825273591,81.3586403424059,4,6.44649204457779,6.51726517609573,6.48250802007683,6.50219421744597
65,47.8865407337322,81.9206642834423,53.3941995998941,106.065432299029,1.89286712065681,-47.8865407337322,-81.9206642834423,-47.2644353024338,-106.065432299029,1.4884168150705,182.584615384615,213.615384615385,119.138461538462,180.892307692308,14.0196480891774,21.5768339501792,20.2779735924907,28.081268367652,77.1858531584712,3,5.99961381153106,6.11892510136016,6.04954021886143,6.20402668297233
538,21.1393686326105,45.6857011169603,47.8603937989308,62.3456610246175,1.64996033477474,0.418105964663355,5.83294002306451,0.102757378268707,-13.1165470221391,2.15565306779613,290.334572490706,398.860594795539,259.752788104089,268.559479553903,15.7792495234585,21.0079001164857,15.3140677373822,16.8210898699568,98.1754405326179,4,7.52671982692397,7.80107511065031,7.51767277762157,7.61951498914302
273,49.1704718460407,87.2657164899936,60.4528442569721,178.419368657117,5.28488877964226,-29.1734611425511,-48.7982252894895,-24.8178799081474,-113.217924880924,3.29849005304497,214.3663003663,286.886446886447,171.043956043956,362.677655677656,27.7140930258735,40.2748560365811,31.72186085564,70.5456917815424,53.3020405150976,11,7.49918246255883,7.62165299545684,7.52343807165527,7.62429410740027
331,43.3247830732853,61.402694434704,45.248391263169,70.8870513585814,1.59214501510574,-14.3756471405805,-29.3805259587555,-20.8702762445224,-70.8870513585814,1.70391410078087,217.996978851964,269.060422960725,154.374622356495,203.19335347432,15.1187641739526,18.9180768058645,14.8017663300298,25.8657716516418,92.5639952090673,5,6.91891547278211,7.16898360211558,6.95361908312061,7.33907980117951
525,44.4995373943594,80.4719575117727,69.1850026413168,73.4571054089571,3.8025308643632,22.7375533671593,28.1037921097457,17.8885054076492,-2.24893834024746,3.88427844620066,272.219047619048,355.567619047619,219.447619047619,227.190476190476,24.9683155227853,32.9132438106696,23.9327553792987,27.9263982428966,100.322274874127,12,7.76994232106856,7.9536637814338,7.72690622260706,7.79627989495243
161,18.6422562683115,27.8910051632093,19.3990632614363,144.002480365363,3.07390180781844,-5.22898412834133,-8.26133293567548,-2.3572372061091,-93.1338618050844,2.3643312187173,209.745341614907,270.795031055901,152.788819875776,275.155279503106,20.84467237685,24.1481241668051,18.4970737782726,48.8427008738111,125.423177461705,6,6.89938787432807,6.99442646644847,6.8946918183194,6.97031574133825
212,48.491077077559,93.8386858332083,48.6196121221229,329.213000682266,1.91431912020115,48.491077077559,93.8386858332083,48.6196121221229,326.956510957558,1.78568733133296,241.943396226415,346.617924528302,186.514150943396,703.382075471698,28.5031710214315,37.8217051020244,30.2446749988909,111.524683194933,83.6185832774972,6,7.27122400008481,7.33838226363692,7.26178993878234,7.34832339524484
297,39.6000185925186,68.6972924297925,56.5811429311429,93.3860353535354,1.56228956228956,-38.0847005772006,-68.6972924297925,-56.5811429311429,-93.3860353535354,1.50867301828271,190.861952861953,215.962962962963,104.656565656566,118.276094276094,18.0630526844331,23.2826717397739,16.4761811241029,17.7992320294893,93.3627223366836,4,7.0349964177746,7.14296319641304,6.84163344493807,7.06209448959371
